"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.2037",28.6808758829687,-1.78663367342778,0.544613916261832,-3.28055090051872,0.00103604568455773,0.00502166289423744
"MSTRG.2042|ASD1",1494.17240618992,-1.86905292240724,0.230051880558836,-8.12448443310695,4.49267979692504e-16,1.47571535974203e-14
"MSTRG.2045",326.007986253159,2.05879980716148,0.275919860289386,7.46158614679713,8.54870400392946e-14,2.27269726178045e-12
"MSTRG.2061|CGL66",482.812971697826,1.85148255139421,0.36615777054653,5.05651579817813,4.26985513991243e-07,4.32645997541924e-06
"MSTRG.2064|LIP1",1022.45609874118,-1.12975055216854,0.18505570838739,-6.10492138833975,1.02851291128699e-09,1.58904745030521e-08
"MSTRG.2071",17.6078019086914,2.83297111449279,0.62788003586605,4.51196240152023,6.42305758468445e-06,5.18081022228886e-05
"MSTRG.2072",43.4920520842579,-2.13518223724931,0.496419409624496,-4.30116590095543,1.69901793829182e-05,0.000125749474781021
"MSTRG.2092|VSP4",238.817706727896,-1.75232534860386,0.436599392977889,-4.01357715284913,5.98054421551687e-05,0.000397154101663689
"MSTRG.2093",184.687591253924,1.42586114991343,0.400887748604403,3.55675910495453,0.000375458151928583,0.00205121432967718
"MSTRG.2080|ATG1",353.550662873677,-1.23303244895465,0.421082205307215,-2.92824639325485,0.00340879793158993,0.0138849780979802
"MSTRG.2078",261.234617258004,-2.66945644636307,0.369906997603042,-7.21656109146586,5.33187159207649e-13,1.30409376262818e-11
"MSTRG.2082",58.810436877245,1.28714842257297,0.313133124800614,4.11054698666119,3.94722945065893e-05,0.000271775893488851
"MSTRG.2102",2664.24577847773,2.3125558466699,0.540006377336614,4.28246025181359,1.84838158134118e-05,0.000135855618955904
"MSTRG.2121|ELIP8",719.165819313755,-1.40505753093524,0.195553547826923,-7.18502705038519,6.7193881852226e-13,1.62594875751399e-11
"MSTRG.2124",24.2014295878664,4.30275583464948,0.892478606544463,4.82113050452725,1.42746927865304e-06,1.31635189048874e-05
"MSTRG.2135",78.0948229756764,1.05340863917884,0.361356062884968,2.91515418551086,0.00355512856637437,0.0143930462946502
"MSTRG.2145",7.61471456870891,2.03368634384716,0.792933761000292,2.56476195600708,0.0103246610895508,0.0353448453922651
"MSTRG.2144",246.755668534932,1.30120893406006,0.192189892999381,6.77043372964596,1.28396887269263e-11,2.61699194077788e-10
"MSTRG.2140",88.9077875853065,-1.02512261952527,0.294259073722544,-3.48374174687932,0.000494456349397026,0.00262905252264679
"MSTRG.2141",47.7635014204758,-1.9899105268682,0.344895753366585,-5.76959996591537,7.9459930833508e-09,1.07055422067043e-07
"MSTRG.2160",394.481852176374,-1.70717470622615,0.380688822153005,-4.48443612442083,7.31070011532618e-06,5.83461397758311e-05
"MSTRG.2167",155.044916807155,5.74472479128108,0.415818066892075,13.8154766439528,2.05588910910887e-43,3.19415431411442e-41
"MSTRG.2166",124.146824689159,-2.16502819267854,0.257959439026047,-8.39290161605576,4.74288484682743e-17,1.65719523724973e-15
"MSTRG.2165",122.648674691045,1.14200726522222,0.237264345037289,4.81322747858615,1.48512076276235e-06,1.36555522766893e-05
"MSTRG.2176|RPS27E2",125.995543906668,1.30393881960347,0.302105582959564,4.31616922411526,1.58760288077597e-05,0.000118385134139664
"MSTRG.2181|FAP39",548.862726474841,-1.33599430985616,0.428022110946744,-3.12132078153876,0.00180041798175372,0.00807192472473792
"MSTRG.2182|CMK1",83.1135161929675,-3.2399611127443,0.507802909149748,-6.38035161745963,1.76681844211591e-10,3.05979080531141e-09
