"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.12855|ARP2",124.447115566145,0.103544764001717,0.263744509507765,0.392594955606721,0.694618665870179,0.839456294185033
"MSTRG.12856|CPLD54",162.036773472728,-0.806953786576684,0.262241787162095,-3.07713654375722,0.0020899954047559,0.00914346964614836
"MSTRG.12863",92.2740249673096,0.382150698401761,0.417836052040059,0.914594842967556,0.360404367031317,0.561185957596854
"MSTRG.12861",233.258465014489,0.112450340188032,0.205745276326327,0.546551260840021,0.584687061503491,0.760294037606944
"MSTRG.12862",43.3648839123217,0.41762243150792,0.348273553228551,1.1991218616415,0.230480564600345,0.413657712352256
"MSTRG.12864",189.404681338977,0.357108253818705,0.24039463826591,1.48550839733661,0.137409200613425,0.282011794250453
"MSTRG.12857",433.749469232041,-0.359386835004492,0.336994733939733,-1.06644644206447,0.286221877178153,0.480755985565587
"MSTRG.12858|ACX3",330.51627564696,-1.53172664821497,0.271262585314359,-5.64665652817506,1.63598214676913e-08,2.10768591323628e-07
"MSTRG.12859|CPLD61",166.714772919222,-5.0646032553108,0.360005276146123,-14.0681361938016,5.96200600879725e-45,9.87333036748528e-43
"MSTRG.12860",125.839242913595,-0.147649114590251,0.230685939434463,-0.640043840349437,0.522144098099084,0.711089191860703
"MSTRG.12869|PTA4",84.1229406586414,2.22047995462413,0.632406611145228,3.51115866831792,0.000446158013879568,0.00239224961371244
"MSTRG.12866|CTF18",35.8923665628234,-8.60854255431532,1.32102648430772,-6.51655561533017,7.19401443641666e-11,1.31915157451156e-09
"MSTRG.12865|FPN1",45.2662111077543,0.126167791570103,0.375676843050942,0.335841279290656,0.736990559866462,0.868867328198518
"MSTRG.12867",129.710579997624,-0.187013157986672,0.235259189978057,-0.794923922011784,0.426657757904072,0.626779249229249
"MSTRG.12868",81.0140212750697,-0.273318859821218,0.305393553218058,-0.894972591730061,0.37080173963039,0.572052989485099
"Cre16.g686700_4532.v6.1",2.17383066596114,-0.163390626058001,1.65824206802153,-0.09853243335754,0.921509519160215,0.96841342779013
"MSTRG.12872",72.0055065712067,0.07436306848637,0.261899587352342,0.28393732589707,0.776458411221987,0.889156208290511
"MSTRG.12870|PTA2",121.90392856513,0.0801512487820935,0.331685044715946,0.241648666585902,0.80905240888641,0.90416668280154
"MSTRG.12871|PTA3",397.961776182877,-0.675952347859275,0.675291861922384,-1.00097807477646,0.316837408414811,0.514197745914522
"MSTRG.12880",19.3912995168788,0.250059972158479,0.48528882009096,0.515280719039868,0.606356870300798,0.77628094159126
"Cre16.g686250_4532.v6.1",1.03656169251926,-0.881027461381134,3.00695885527482,-0.292996181120215,0.769525070694389,0.886026554693601
"Cre16.g801966_4532.v6.1",2.02778251615683,1.62777385050362,1.76546647623955,0.92200779364034,0.356524510430444,0.557382895744243
"MSTRG.12881|TSPSP2",180.599324598007,-0.110303088692948,0.22845687640111,-0.482817984866802,0.629224979683804,0.793292523950287
"MSTRG.12882",156.608845343124,-0.0354927082197081,0.24861538004696,-0.142761514645651,0.886478532540983,0.946553543578249
"MSTRG.12884",147.153227623981,0.193308085467351,0.203934031555254,0.947895179598682,0.343182819181977,0.542338017828536
"MSTRG.12883",38.6502648676434,0.140054849469363,0.454509895494902,0.308144774970985,0.757972172216759,0.880417206094079
"MSTRG.12878",92.2154369920841,0.0498702078762739,0.344099335925943,0.144929683581275,0.884766389749947,0.945741683873103
"MSTRG.12879",43.490276596732,-0.383012585783906,0.384740064948673,-0.995510009686677,0.319488278397862,0.517179986759923
"MSTRG.12873",135.983608548373,-0.771190530741335,0.417840135948476,-1.84565929500949,0.0649416910499847,0.15883738527887
"MSTRG.12874",135.115471236814,-0.594030765801262,0.27949900219809,-2.12534127538764,0.0335581465299155,0.0939343313287623
"MSTRG.12875",38.4963616351438,0.479759661230295,0.50087722281919,0.957838846274473,0.338144027390263,0.537364128001014
"MSTRG.12876",311.431029646106,0.292827300101119,0.211305968910779,1.38579757879325,0.165808721925666,0.324697466313927
"MSTRG.12877",55.4145412217304,0.335103337830839,0.330508693455622,1.01390173531346,0.310629643266668,0.507348612559573
"MSTRG.12842",51.6243255202228,-0.468003507584126,0.406038446200264,-1.15260885259446,0.249070968010864,0.434991788359521
"MSTRG.12845",38.8732225577978,-0.777481278252201,0.424091153833164,-1.833288129745,0.0667597337105138,0.162161382204698
"MSTRG.12847|LHCA7",6890.48656992349,-4.80070692513182,0.181711445479308,-26.4193975919832,8.20301941953322e-154,4.3470534243913e-150
"MSTRG.12841",33.7836023877093,0.439927964147173,0.345731834159361,1.27245431482133,0.203211746330041,0.37732543134256
"MSTRG.12843",10.3500543265199,1.06659973947857,0.611186183245397,1.74513064712119,0.0809621299498244,0.188453285789503
"Cre16.g688202_4532.v6.1",1.00275353516877,0.000266967362042383,1.7333455934261,0.000154018542554287,0.999877110983304,0.999980657572252
"MSTRG.12844",326.101837949272,-0.126445415088159,0.303830543565589,-0.416170848408671,0.677284989710807,0.826487317041941
"MSTRG.12846|ETFA1",128.221306476751,-0.434911688086055,0.471102460247145,-0.92317855410455,0.355914163006381,0.556866781170697
"Cre16.g686002_4532.v6.1",1.38499146649001,1.57219282612112,2.23732036899999,0.70271242684115,0.482234981735987,0.678039777686105
"MSTRG.12886|PRMT3",124.843750747503,0.0779157197363686,0.347622624144126,0.224138805488288,0.822649298108221,0.90888678489097
"MSTRG.12885",11.181103698698,0.759666520437438,0.641959674486475,1.18335551379473,0.236668280173736,0.421196945953437
"MSTRG.12887",291.299584605073,-0.544392584314442,0.334527632454735,-1.62734713518203,0.103663392393624,0.228450320525898
"MSTRG.12888",13.8333967223635,0.360859793427118,0.611801510689324,0.589831484758076,0.555303632189712,0.736007823620321
"MSTRG.12925",4.59057703837115,-5.63604403489261,1.55923977746301,-3.61461021990014,0.000300799828091885,0.00168979352190982
"Cre16.g801967_4532.v6.1",0.493557959089173,-0.897234060899156,2.92686796634553,-0.306550917641645,0.75918521787953,0.880912594897729
"MSTRG.12894",115.891666392436,0.687664483054786,0.235518587140449,2.91978858825568,0.00350268916019893,0.0142188890503583
"MSTRG.12895|DHC8",822.604084907975,-0.0850499545138216,0.199078283766122,-0.427218644368757,0.669220082680068,0.819728860039119
"Cre16.g685300_4532.v6.1",0,NA,NA,NA,NA,NA
"MSTRG.12898",141.336065582868,0.862438742115579,0.220010249573116,3.91999347207215,8.85513671786945e-05,0.000563566707528777
"MSTRG.12889",87.5760748495419,0.611688480465875,0.25636649177056,2.3859923199843,0.017033106764509,0.0538891021396354
"MSTRG.12890",820.252811681836,0.940743562906047,0.297964571170684,3.15723295293103,0.00159274049311851,0.00724710599874015
"MSTRG.12891|GLR1",37.2382852585845,0.411437872633085,0.402675135659712,1.0217613063171,0.306893887060826,0.50324899602816
"MSTRG.12892",33.0967113873029,0.966020672911523,0.373159301446625,2.58876214304871,0.00963216016913667,0.0333693794658825
"MSTRG.12893|OASTL4",797.916777012267,0.269540406829309,0.201891392527842,1.33507626776183,0.18185138592572,0.348112382112836
"MSTRG.12896",306.186125184739,0.346667276054665,0.307449256497863,1.1275593247599,0.259506072966666,0.449023459732701
"MSTRG.12897",35.3286506535501,-0.430151423266186,0.351853254073304,-1.2225307519156,0.22150698201449,0.401838357092027
"MSTRG.12899",170.57545333173,0.243047560217293,0.234462291403997,1.03661684257151,0.299914460742985,0.495535241830386
"MSTRG.12900",36.0548249628248,-0.30730288731578,0.422689501891739,-0.727018026093508,0.467214913173986,0.664440709333574
"MSTRG.12901",174.445257545736,1.51736565153891,1.12318854849833,1.35094473102275,0.176713137873446,0.340944838096122
