"","SRR066643","SRR066644","SRR066645","SRR066646","SRR066647","SRR066648"
"MSTRG.3411",106,107.216089871098,44.3816030071623,73.2392151188126,65.9521296829582,84.1484657238631
"MSTRG.3412",18,10.4369645007264,19.0206870030696,16.6452761633665,16.2490754291346,19.855255957316
"MSTRG.3413|HYD3",22,43.6454879121285,46.49501267417,47.716458334984,46.8355703545645,59.565767871948
"MSTRG.3414",48,35.1061533206251,58.1187658427125,56.5939389554461,56.3938500187613,72.8026051768254
"Cre03.g200200_4532.v6.1",63,82.5469010511995,70.7992238447589,15.5355910858087,15.2932474627149,12.2913489259575
"MSTRG.3419",24,39.8502280936825,27.4743256711005,24.4130717062709,23.8956991604921,25.5281862308349
"MSTRG.3420",275,282.746856474223,320.181564551671,382.84135175743,346.965551810345,288.373955570542
"MSTRG.3421|CAL1",80,69.2634916866386,68.6858141777512,114.29756298845,81.2453771456731,80.3665122081838
"Cre03.g200351_4532.v6.1",4,0,2.11340966700773,0,0,2.83646513675943
"MSTRG.3418",1333,1229.66418117649,1511.08791191053,2290.39000007923,2193.62518293317,2255.93527210267
"MSTRG.3424",0,0,0,0,0,0
"Cre03.g199650_4532.v6.1",0,0,0,0,1.91165593283937,2.83646513675943
"MSTRG.3426",53,59.7753421405238,82.4229770133014,65.4714195759083,83.1570330785125,73.7480935557452
"MSTRG.3427",40,34.1573383660136,48.6084223411778,52.1551986452151,45.8797423881448,68.0751632822263
"MSTRG.3422",76,68.3146767320272,69.742519011255,119.845988376239,106.096904272585,107.785675196858
"MSTRG.3423",332,363.3961276162,175.413002361641,136.491264539605,176.828173787642,184.370233889363
"MSTRG.3423|EIF4E",1209,1815.08300817178,735.466564118689,881.089951580867,908.0365680987,800.828656945079
"MSTRG.3425|HYDA1",614,797.953376828262,1310.31399354479,383.951036834987,382.331186567874,229.753676077514
"MSTRG.3433",31,38.901413139071,8.45363866803091,0,0,2.83646513675943
"Cre03.g199200_4532.v6.1",18,23.7203738652872,11.6237531685425,5.54842538778884,2.86748389925905,0
"MSTRG.3438",4,3.79525981844595,10.5670483350386,21.0840164735976,13.3815915298756,12.2913489259575
"MSTRG.3435",23,21.8227439560642,15.850572502558,9.9871656980199,4.77913983209842,3.78195351567924
"MSTRG.3434|AHA1",92,128.090018872551,26.4176208375966,55.4842538778884,56.3938500187613,57.6747911141084
"MSTRG.3428",69,90.1374206880914,105.670483350386,75.4585852739282,71.6870974814763,59.565767871948
"MSTRG.3429",97,115.755424462602,92.9900253483401,71.0198449636971,83.1570330785125,89.821395997382
"MSTRG.3430|FAP129",51,60.7241570951352,66.5724045107435,32.1808672491752,32.4981508582693,34.0375816411132
"MSTRG.3431|MINE2",103,221.073884424477,78.196157679286,5.54842538778884,0,0
"MSTRG.3432|ORC2",18,34.1573383660136,7.39693383452705,5.54842538778884,4.77913983209842,8.50939541027829
"MSTRG.3437",77,97.7279403249833,69.742519011255,107.639452523103,127.125119533818,134.259349806613
"MSTRG.3436",212,185.01891614924,70.7992238447589,194.194888572609,185.430625485419,218.407815530476
"MSTRG.3439|PHOT1",2422,2394.8089454394,2498.05022640314,1949.716681269,1974.74057862307,1829.52001320983
"MSTRG.3442",695,736.280404778515,619.229032433264,35.5099224818485,33.4539788246889,33.0920932621934
"MSTRG.3441",54,63.5706019589697,80.3095673462937,33.290552326733,72.642925447896,17.0187908205566
"MSTRG.3440|CGL30",1117,1017.12963134352,1662.19670310158,185.317407952147,167.269894123445,156.951070900688
"MSTRG.3443",123,124.294759054105,243.042111705889,352.87985466337,342.186411978247,388.595723736042
"MSTRG.3444",160,178.37721146696,150.052086357549,237.472606597362,247.559443302698,243.936001761311
"MSTRG.3446|COX23",130,149.912762828615,102.500368849875,109.858822678219,104.185248339746,101.16725654442
"MSTRG.3447",153,182.172471285406,169.072773360618,155.355910858087,150.06499072789,176.806326858004
"MSTRG.3447|CCS2",57,59.7753421405238,151.108791191053,56.5939389554461,70.7312695150566,64.2932097665471
"MSTRG.3448",560,611.98564572441,854.874210304626,1137.42720449671,994.061085076471,419.796840240396
"MSTRG.3445|EGD1",3126,3930.9403569554,3352.92443670776,1884.24526169309,1933.63997606702,2122.62141067497
"MSTRG.3451",23,15.1810392737838,10.5670483350386,14.425906008251,27.7190110261708,27.4191629886745
"MSTRG.3450",44,40.799043048294,58.1187658427125,68.8004748085816,70.7312695150566,82.2574889660235
"Cre03.g212081_4532.v6.1",9,0,2.11340966700773,6.6581104653466,11.4699355970362,10.4003721681179
"MSTRG.3454",23,31.3108935021791,26.4176208375966,23.3033866287131,22.9398711940724,23.6372094729952
"MSTRG.3455|FAP181",25,37.9525981844595,42.2681933401546,9.9871656980199,16.2490754291346,17.0187908205566
"MSTRG.3452",244,154.656837601673,808.379197630456,531.53915215017,511.367962034531,510.563724616697
"MSTRG.3456",109,102.472015098041,135.258218688495,89.8844912821791,100.361936474067,89.821395997382
"Cre03.g800401_4532.v6.1",0,0,3.17011450051159,0,0,0
"MSTRG.3449",1614,403.246355709882,2187.379005353,3549.8825631073,3366.42609773013,3515.32579282385
"Cre03.g800402_4532.v6.1",1,0.948814954611488,0,1.10968507755777,0.955827966419684,0.94548837891981
"MSTRG.3460|FAP165",50,86.3421608696454,128.917989687471,36.6196075594063,41.1006025560464,31.2011165043537
"Cre03.g800403_4532.v6.1",1,0,0,0,0,0.94548837891981
"MSTRG.3458",172,188.814175967686,282.140190545532,320.698987414195,308.732433153558,280.810048539184
"MSTRG.3459",0,0,20.0773918365734,0,0,0
"MSTRG.3457",27,20.8739290014527,36.9846691726353,37.7292926369641,36.321462723948,36.8740467778726
"MSTRG.3461",9,7.59051963689191,14.7938676690541,7.76779554290437,5.7349677985181,5.67293027351886
"MSTRG.3461|MRPS106",76,124.294759054105,142.655152523022,43.2777180247529,54.482194085922,44.4379538092311
"MSTRG.3462",78,47.4407477305744,91.9333205148362,159.794651168318,157.711614459248,105.894698439019
"MSTRG.3468",2,2.84644486383446,2.11340966700773,2.21937015511553,1.91165593283937,1.89097675783962
"Cre03.g800406_4532.v6.1",1,0.948814954611488,1.05670483350386,1.10968507755777,0,0
"MSTRG.3463",934,892.83487228941,1301.86035487676,1570.20438474424,1449.03519709224,1130.80410118809
"MSTRG.3464",249,245.743073244375,515.671958749886,578.145925407597,497.030542538236,373.467909673325
"Cre03.g800407_4532.v6.1",0,0.948814954611488,0,0,0.955827966419684,0
"MSTRG.3469",101,105.318459961875,92.9900253483401,145.368745160067,157.711614459248,178.697303615844
"MSTRG.3466",273,276.105151791943,318.068154884663,214.169219968649,233.222023806403,255.281862308349
"MSTRG.3465",266,240.998998471318,254.665864874431,691.333803318489,587.834199348106,566.347538972966
"MSTRG.3467",138,121.44831419027,48.6084223411778,37.7292926369641,43.9680864553055,50.1108840827499
"MSTRG.3471",47,39.8502280936825,82.4229770133014,24.4130717062709,30.5864949254299,37.8195351567924
"MSTRG.3473",94,119.550684281048,49.6651271746816,7.76779554290437,7.64662373135747,8.50939541027829
"MSTRG.3470",411,411.785690301386,560.053561757048,828.934752935652,826.791190953027,1002.217681655
"MSTRG.3472",245,242.896628380541,361.393053058322,385.060721912545,355.568003508122,316.738606938136
"MSTRG.3476",0,0,0,5.54842538778884,0,10.4003721681179
"MSTRG.3478",20,17.0786691830068,24.3042111705889,24.4130717062709,21.028215261233,36.8740467778726
"MSTRG.3479",8,6.64170468228042,6.34022900102319,11.0968507755777,8.60245169777716,14.1823256837972
"MSTRG.3480",21,15.1810392737838,15.850572502558,23.3033866287131,23.8956991604921,21.7462327151556
"MSTRG.3477",106,111.011349689544,127.861284853968,102.091027135315,103.229420373326,112.513117091457
